1;Я никогда не прыгал с парашютом.
2;Я никогда не пел пьяным в караоке.
3;Я никогда не выходил из дома без нижнего белья.
4;Я никогда не попадал под арест или штраф гаишников.
5;Я никогда не делал обнаженных фотографий или селфи.
6;Я никогда не влюблялся в своего друга противоположного пола.
7;Я никогда не врал о своем весе.
8;Я никогда не целовался с незнакомым человеком.
9;Я никогда не был влюблен безответно.
10;Я никогда не терял деньги или телефон.
11;Я никогда не был в секс-шопе.
12;Я никогда не носил брекеты.
13;Я никогда не встречался с двумя людьми одновременно.
14;Я никогда не целовал никого из присутствующих.
15;Я никогда не танцевал стриптиз.
16;Я никогда не пропускал учебу или работу из-за похмелья.
17;Я никогда не рассказывал чужих секретов.
18;Я никогда не был во френдзоне.
19;Я никогда не занимался сексом вне постели.
20;Я никогда не играл в игры на раздевание.
21;Я никогда не лгал о возрасте.
22;Я никогда не употреблял наркотики.
23;Я никогда не ходил в сланцах с носками.
24;Я никогда не мутил романа с женатым или замужним человеком.
25;Я никогда не был за границей.
26;Я никогда не спал с более чем с 5 человек за всю жизнь.
27;Я никогда не делал тест на беременность или моя вторая половина.
28;Я никогда не мечтал переспать с кем-то из присутствующих.
29;Я никогда ничего не терял, когда был пьяный.
30;Я никогда не участвовал в драке.
31;Я никогда не заставал родителей за сексом.
32;Я никогда не садился на шпагат полностью или не мог подтянуться больше 5 раз.
33;Я никогда не держал в руках секс-игрушку.
34;Я никогда не вешал плакаты в своей комнате.
35;Я никогда не разрушал чужие отношения.
36;Я никогда не бил телефон, посуду или что-то еще в гневе.
37;Я никогда не плакал во время просмотра фильма.
38;Я никогда не писал стихи.
39;Я никогда не участвовал в кастингах.
40;Я никогда не был дважды в день на свидании с разными людьми.
41;Я никогда себе ничего не ломал.
42;Я никогда не жарил шашлык сам.
43;Я никогда не получал пошлых комплиментов.
44;Я никогда не водил машину или мотоцикл.
45;Я никогда не пел в душе песни.
46;Я никогда не пытался похудеть или потолстеть.
47;Я никогда не измерял части своего тела рулеткой или линейкой.
48;Я никогда не попадал в аварии.
49;Я никогда не был влюблен ни в кого.
50;Я никогда не читал руководство по сексу на подобии «Камасутра».
51;Я никогда не целовался с тем, у кого был неприятный запах изо рта.
52;Я никогда не имел секса в общественном месте или в машине.
53;Я никогда не купался на нудистском пляже.
54;Я никогда не зажимал денег, чтобы сохранить их.
55;Я никогда никому не мстил.
56;Я никогда не блевал после алкоголя.
57;Я никогда не отклонял предложения о сексе.
58;Я никогда не пил алкоголь своих родителей.
59;Я никогда не спал голым.
60;Я никогда не хотел сделать себе пластическую операцию.
61;Я никогда не устраивал сцену ревности.
62;Я никогда не читал эротический роман.
63;Я никогда не играл на компьютере целый день.
64;Я никогда не трогал силиконовую грудь.
65;Я никогда не выигрывал в лотерею.
66;Я никогда не вел себя как плохой парень или плохая девчонка.
67;Я никогда ничего не крал.
68;Я никогда не хотел заняться сексом втроем.
69;Я никогда не был фанатом никакой звезды.
70;Я никогда не играл раньше в игру «Я никогда не».
71;Я никогда ничего не использовал вместо туалетной бумаги.
72;Я никогда не обращался за помощью к полиции.
73;Я никогда не напивался один.
74;Я никогда не целовал животное.
75;Я никогда не отбивал у кого-то себе вторую половину.
76;Я никогда не давал чаевые.
77;Я никогда не пил столько, что меня приносили домой.
78;Я никогда не был веганом.
79;Я никогда не носил одно нижнее белье больше трех дней.
80;Я никогда не проводил весь день в нижнем белье или голым.
81;Я никогда не носил стринги.
82;Я никогда не был в стриптиз-баре.
83;Я никогда не ходил на разборки.
84;Я никогда не рылся в чужих вещах или телефоне.
85;Я никогда не писал в бассейне или речке.
86;Я никогда не покупал алкоголь более младшим людям.
87;Я никогда не имел водительских прав.
88;Я никогда не был развернут на фейсконтроле в клуб.
89;Я никогда не врал о том, что люблю кого-то для разных целей.
90;Я никогда не надевал одежду противоположного пола.
91;Я никогда не купался голым ночью.
92;Я никогда не симулировал оргазм.
93;Я никогда не был на охоте и рыбалке.
94;Я никогда не убивал животных.
95;Я никогда не советовал своим друзьям расстаться с их половиной.
96;Я никогда не лежал в больнице.
97;Я никогда не спал в комнате, где другие занимались сексом.
98;Я никогда не имел домашнего животного.
99;Я никогда не был у психиатра.
100;Я никогда не расставался через телефон.
101;Я никогда ничего не ел что-то, хотя знал, что срок годности уже истек.
102;Я никогда не знакомился через приложения для знакомств.
103;Я никогда не пытался повторить что-то из порно.
104;Я никогда не тратил больше N суммы за вечер.
105;Я никогда не стрелял из оружия.
106;Я никогда не стыдился одежды, что это был дешевый бренд.
107;Я никогда не курил сигару или кальян.
108;Я никогда не болтал о жизни с бомжом.
109;Я никогда не мечтал быть кем-то другим.
110;Я никогда никого не подкупал и не давал взятки.
111;Я никогда не искал специально голые фотографии какой-то знаменитости.
112;Я никогда не опаздывал на поезд или самолет.
113;Я никогда ни за кем не подсматривал.
114;Я никогда не убегал от контроллеров или полиции.
115;Я никогда не был в наручниках.
116;Я никогда не пил больше трех дней подряд.
117;Я никогда никому не предлагал ничего неприличного.
118;Я не пытался взломать или подобрать чужой пароль.
119;Я никогда не делал вид, что пьян сильнее, чем в реальности.
120;Я никогда не делал татуировку.